Address,Total Staked SYNR,Average Staked SYNR,SYNR Passes As SYNR Equivalent,Free Farms,Guaranteed Whitelists Turf,Guaranteed Whitelist Farms,Entry to Raffle for Guaranteed Whitelist Farm
0x8Ed1bdB5bd669Be2121c48A6D178CAB35BCb43d0,250700,250700,1,1,1,0,0
0x97e142399C4CbA7B4d36b40aa767F9643B34978d,250089,250089,1,1,1,0,0
0xA697765F211951c6dA378Dae4D69BA0a39881bFb,250001,250001,1,1,1,0,0
0x4D1750f3aB3e746538F302b9dEd3Db31317B64A7,248952,248952,1,1,0,1,0
0xC5b507d93F2EEa432601B43fC9c85FF226fccC33,428728,428728,0,0,1,0,0
0x194728F4A40f1a22ec1A84DfDbB645Cd870e0Efb,416666,416666,0,0,1,0,0
0xae74f7B79D3e32A819675403e54A550824C0bF02,233154,233154,1,1,0,1,0
0x1e00B459fbdD319ea26e8D764ffd3c968C9d2E34,50112,50112,2,2,0,1,0
0x348AaC0a9935277784f9fF6fACBe4B202f02e6a1,230000,230000,1,1,0,1,0
0x9065BEE921567772854C38b826a794349f5eE2B5,209340,209340,1,1,0,1,0
0x7fDbdc0C1035EdA3C53F14EEb5bc4C5C0997B9c1,13728,13728,2,2,0,0,1
0x0A2809076b654D6951E41b03568F16717a50Af4A,0,0,2,2,0,0,0
0x94bd3400e28a715e8C078117B61Ecf678139a294,0,0,2,2,0,0,0
0x833186a107A881e7A39DA9D88999f55dc7350CBe,0,0,2,2,0,0,0
0x2829DFDC378C507c3B2D80EF5f99B1F199573FF3,0,0,2,2,0,0,0
0x5a04f936Fe3CA669a70223FA1037B56d16554142,355997,355997,0,0,1,0,0
0x58bb899309FEbC5e7eB9557f786995050cAf5593,354772,354772,0,0,1,0,0
0x7764F37E255B12B02e6936B7a060ea73EC45B431,172132,172132,1,1,0,1,0
0x82d9C110993e51170Bf2b70168f7E0077E17d178,351684,351684,0,0,1,0,0
0x50e560e7cB99e321c110EEE560a2Da8364a290F9,162000,162000,1,1,0,1,0
0xD7fb647C0F165FF9849fe97F62a0389c77C4C55f,336767,336767,0,0,1,0,0
0x19b61eafFb794680C94b4729263FbA1f272649B5,333333,333333,0,0,1,0,0
0x8c3B60A48219dB57da76b34f65c3BC69Bd91110A,333333,333333,0,0,1,0,0
0xca0b43613E6639cEd88c5e55780Ec422cB5EC8Bb,332096,332096,0,0,1,0,0
0x34cadF09dbf50a39D1a68b87D7763DB3961ef483,331179,331179,0,0,1,0,0
0xBA9c4D1DF8c2F7D1EbF3A9F6b34D04a552aAbD6e,329217,329217,0,0,1,0,0
0xdc360e2A31cDABAFdF92763999e38D8D732F0c03,324480,324480,0,0,1,0,0
0x4c9C3626Cf1828Da7b58a50DC2F6AA2C4546609e,142605,142605,1,1,0,1,0
0x277B457fcCd42b7d1ab0e67d79b49ddf749546a6,140703,140703,1,1,0,1,0
0x43Fe1FFA9a9653C55890177383d770b8dD250F6a,318082,318082,0,0,1,0,0
0x4f73E33721eDc1EcAe5A45261fBe6C0bC4Fb1685,137652,137652,1,1,0,1,0
0x6fD6ba886ccD6F11db57cf9Cf6429F07AEeA63Ae,310179,310179,0,0,1,0,0
0x6a74DF3e3B2BBC7D1BC4ceF29543fc41C86c452e,127000,127000,1,1,0,1,0
0x8BBED2f009D9d0e51DDF7bDB6Ef240C4426F7C93,303363,303363,0,0,1,0,0
0xA58482fa5cBf5Dc3fF64Bff64051090137B03Bd5,300000,300000,0,0,1,0,0
0xEaf365c1AADf5fc4eb51518fcd27E64221698025,300000,300000,0,0,1,0,0
0x0578cAbdcAE3A3C4e1Bf8B386754a9Aa63F6Ba65,288642,288642,0,0,1,0,0
